id,key,value,type
25455287,highway,motorway_junction,regular
25455287,ref,14A,regular
25455292,highway,motorway_junction,regular
25455292,ref,10B,regular
26778790,highway,traffic_signals,regular
26778799,highway,traffic_signals,regular
26778809,highway,traffic_signals,regular
26778930,highway,traffic_signals,regular
26778938,highway,traffic_signals,regular
26782323,highway,motorway_junction,regular
26782323,ref,15,regular
31737711,highway,traffic_signals,regular
31737711,traffic_signals,signal,regular
60662427,highway,traffic_signals,regular
74353693,highway,crossing,regular
74368117,highway,traffic_signals,regular
74368120,highway,traffic_signals,regular
74375784,highway,traffic_signals,regular
74407259,traffic_calming,island,regular
74427739,highway,traffic_signals,regular
74442036,highway,traffic_signals,regular
74454952,highway,traffic_signals,regular
74460234,highway,traffic_signals,regular
74460245,highway,traffic_signals,regular
133662042,exit_to,Tampines Expressway;Seletar West Link,regular
133662042,highway,motorway_junction,regular
133662042,name,Seletar,regular
133662042,ref,1B,regular
133662081,destination,Punggol West,regular
133662081,exit_to,Sengkang East Road;Punggol Way,regular
133662081,highway,motorway_junction,regular
133662081,ref,10,regular
133662122,exit_to,Tampines Avenue 10;Pasir Ris Drive 12,regular
133662122,highway,motorway_junction,regular
133662122,name,Pasir Ris Dr 12/Tampines Av 10,regular
133662122,ref,5,regular
133745541,exit_to,Ang Mo Kio Avenue 3;Ang Mo Kio Avenue 5,regular
133745541,highway,motorway_junction,regular
133745541,name,Ang Mo Kio North,regular
133745541,ref,14,regular
133745557,highway,motorway_junction,regular
133745557,name,Ang Mo Kio South,regular
133745557,ref,11,regular
133745582,exit_to,Pan Island Expressway,regular
133745582,highway,motorway_junction,regular
133745582,name,Whampoa,regular
133745582,ref,8A,regular
135078818,exit_to,Punggol Road,regular
135078818,highway,motorway_junction,regular
135078818,name,Punggol,regular
135078818,ref,9,regular
135079149,exit_to,Sengkang East Road;Punggol Way,regular
135079149,highway,motorway_junction,regular
135079149,name,Punggol West,regular
135079149,ref,10,regular
135079529,exit_to,Piccadily Circus;Jalan Kayu;Sengkang West Avenue,regular
135079529,highway,motorway_junction,regular
135079529,name,Jalan Kayu,regular
135079529,ref,12,regular
135079840,exit_to,Tampines Avenue 10;Pasir Ris Drive 12,regular
135079840,highway,motorway_junction,regular
135079840,name,Tampines Ave 10/Pasir Ris Dr 12,regular
135079840,ref,5,regular
135080109,exit_to,Tampines Link,regular
135080109,highway,motorway_junction,regular
135080109,ref,4,regular
135080726,exit_to,Kallang-Paya Lebar Expressway,regular
135080726,highway,motorway_junction,regular
135080726,name,Tampines,regular
135080726,en,Tampines,name
135080726,zh,淡滨尼,name
135080726,ref,6,regular
137301895,highway,motorway_junction,regular
137301895,name,Ang Mo Kio South,regular
137301895,ref,11,regular
137301956,exit_to,Moulmein Road,regular
137301956,highway,motorway_junction,regular
137301956,name,Moulmein,regular
137301956,ref,7A,regular
137302530,created_by,JOSM,regular
137302583,exit_to,Yio Chu Kang Road,regular
137302583,highway,motorway_junction,regular
137302583,name,Yio Chu Kang,regular
137302583,en,Yio Chu Kang,name
137302583,zh,杨厝港,name
137302583,ref,15,regular
137302641,exit_to,Pan Island Expressway,regular
137302641,highway,motorway_junction,regular
137302641,name,Whampoa,regular
137302641,ref,8B,regular
137302798,highway,motorway_junction,regular
137302798,name,Ang Mo Kio North,regular
137302798,ref,12B,regular
137302917,exit_to,Braddell Road,regular
137302917,highway,motorway_junction,regular
137302917,name,Braddell,regular
137302917,ref,10,regular
137303151,created_by,JOSM,regular
137303219,created_by,JOSM,regular
137303333,created_by,JOSM,regular
137352929,created_by,JOSM,regular
137352957,created_by,JOSM,regular
137352997,created_by,JOSM,regular
137353019,created_by,JOSM,regular
137353038,created_by,JOSM,regular
137377911,created_by,JOSM,regular
137377925,created_by,JOSM,regular
137377944,created_by,JOSM,regular
137377958,created_by,JOSM,regular
137377974,created_by,JOSM,regular
137377994,created_by,JOSM,regular
137378055,created_by,JOSM,regular
137378076,created_by,JOSM,regular
137378102,created_by,JOSM,regular
137378131,created_by,JOSM,regular
137378155,created_by,JOSM,regular
137378179,created_by,JOSM,regular
137378199,created_by,JOSM,regular
137378217,created_by,JOSM,regular
137378230,created_by,JOSM,regular
137378251,created_by,JOSM,regular
137378272,created_by,JOSM,regular
137407148,created_by,JOSM,regular
137407166,created_by,JOSM,regular
137407190,created_by,JOSM,regular
137407214,created_by,JOSM,regular
137407289,created_by,JOSM,regular
137407339,created_by,JOSM,regular
137407408,created_by,JOSM,regular
137407436,created_by,JOSM,regular
137407458,created_by,JOSM,regular
137407499,created_by,JOSM,regular
137407771,created_by,JOSM,regular
137407848,created_by,JOSM,regular
137407872,created_by,JOSM,regular
137407896,created_by,JOSM,regular
137407936,created_by,JOSM,regular
137407984,created_by,JOSM,regular
137408172,created_by,JOSM,regular
137408683,created_by,JOSM,regular
137408821,created_by,JOSM,regular
137408891,created_by,JOSM,regular
137408923,created_by,JOSM,regular
137409062,created_by,JOSM,regular
137409177,created_by,JOSM,regular
137409378,created_by,JOSM,regular
137409630,created_by,JOSM,regular
137409697,created_by,JOSM,regular
137409714,created_by,JOSM,regular
137409733,created_by,JOSM,regular
137409755,created_by,JOSM,regular
137409781,created_by,JOSM,regular
137409814,created_by,JOSM,regular
137409840,created_by,JOSM,regular
137409860,created_by,JOSM,regular
137409886,created_by,JOSM,regular
137409916,created_by,JOSM,regular
137409943,created_by,JOSM,regular
